Mundia,link,Etapa,Resultado,Equipo1,Equipo2,Fecha
Mundial 2018,/partidos/2018_rusia_arabia_saudita.php,1raRonda_GrupoA,5-0,Rusia,ArabiaSaudita,Fecha:14-Jun-2018
Mundial 2018,/partidos/2018_egipto_uruguay.php,1raRonda_GrupoA,0-1,Egipto,Uruguay,Fecha:15-Jun-2018
Mundial 2018,/partidos/2018_portugal_espana.php,1raRonda_GrupoB,3-3,Portugal,España,Fecha:15-Jun-2018
Mundial 2018,/partidos/2018_marruecos_iran.php,1raRonda_GrupoB,0-1,Marruecos,Irán,Fecha:15-Jun-2018
Mundial 2018,/partidos/2018_francia_australia.php,1raRonda_GrupoC,2-1,Francia,Australia,Fecha:16-Jun-2018
Mundial 2018,/partidos/2018_peru_dinamarca.php,1raRonda_GrupoC,0-1,Perú,Dinamarca,Fecha:16-Jun-2018
Mundial 2018,/partidos/2018_argentina_islandia.php,1raRonda_GrupoD,1-1,Argentina,Islandia,Fecha:16-Jun-2018
Mundial 2018,/partidos/2018_croacia_nigeria.php,1raRonda_GrupoD,2-0,Croacia,Nigeria,Fecha:16-Jun-2018
Mundial 2018,/partidos/2018_brasil_suiza.php,1raRonda_GrupoE,1-1,Brasil,Suiza,Fecha:17-Jun-2018
Mundial 2018,/partidos/2018_costa_rica_serbia.php,1raRonda_GrupoE,0-1,CostaRica,Serbia,Fecha:17-Jun-2018
Mundial 2018,/partidos/2018_alemania_mexico.php,1raRonda_GrupoF,0-1,Alemania,México,Fecha:17-Jun-2018
Mundial 2018,/partidos/2018_suecia_corea_del_sur.php,1raRonda_GrupoF,1-0,Suecia,CoreadelSur,Fecha:18-Jun-2018
Mundial 2018,/partidos/2018_belgica_panama.php,1raRonda_GrupoG,3-0,Bélgica,Panama,Fecha:18-Jun-2018
Mundial 2018,/partidos/2018_tunez_inglaterra.php,1raRonda_GrupoG,1-2,Túnez,Inglaterra,Fecha:18-Jun-2018
Mundial 2018,/partidos/2018_polonia_senegal.php,1raRonda_GrupoH,1-2,Polonia,Senegal,Fecha:19-Jun-2018
Mundial 2018,/partidos/2018_colombia_japon.php,1raRonda_GrupoH,1-2,Colombia,Japón,Fecha:19-Jun-2018
Mundial 2018,/partidos/2018_rusia_egipto.php,1raRonda_GrupoA,3-1,Rusia,Egipto,Fecha:19-Jun-2018
Mundial 2018,/partidos/2018_uruguay_arabia_saudita.php,1raRonda_GrupoA,1-0,Uruguay,ArabiaSaudita,Fecha:20-Jun-2018
Mundial 2018,/partidos/2018_portugal_marruecos.php,1raRonda_GrupoB,1-0,Portugal,Marruecos,Fecha:20-Jun-2018
Mundial 2018,/partidos/2018_iran_espana.php,1raRonda_GrupoB,0-1,Irán,España,Fecha:20-Jun-2018
Mundial 2018,/partidos/2018_francia_peru.php,1raRonda_GrupoC,1-0,Francia,Perú,Fecha:21-Jun-2018
Mundial 2018,/partidos/2018_dinamarca_australia.php,1raRonda_GrupoC,1-1,Dinamarca,Australia,Fecha:21-Jun-2018
Mundial 2018,/partidos/2018_argentina_croacia.php,1raRonda_GrupoD,0-3,Argentina,Croacia,Fecha:21-Jun-2018
Mundial 2018,/partidos/2018_nigeria_islandia.php,1raRonda_GrupoD,2-0,Nigeria,Islandia,Fecha:22-Jun-2018
Mundial 2018,/partidos/2018_brasil_costa_rica.php,1raRonda_GrupoE,2-0,Brasil,CostaRica,Fecha:22-Jun-2018
Mundial 2018,/partidos/2018_serbia_suiza.php,1raRonda_GrupoE,1-2,Serbia,Suiza,Fecha:22-Jun-2018
Mundial 2018,/partidos/2018_alemania_suecia.php,1raRonda_GrupoF,2-1,Alemania,Suecia,Fecha:23-Jun-2018
Mundial 2018,/partidos/2018_corea_del_sur_mexico.php,1raRonda_GrupoF,1-2,CoreadelSur,México,Fecha:23-Jun-2018
Mundial 2018,/partidos/2018_belgica_tunez.php,1raRonda_GrupoG,5-2,Bélgica,Túnez,Fecha:23-Jun-2018
Mundial 2018,/partidos/2018_inglaterra_panama.php,1raRonda_GrupoG,6-1,Inglaterra,Panama,Fecha:24-Jun-2018
Mundial 2018,/partidos/2018_polonia_colombia.php,1raRonda_GrupoH,0-3,Polonia,Colombia,Fecha:24-Jun-2018
Mundial 2018,/partidos/2018_japon_senegal.php,1raRonda_GrupoH,2-2,Japón,Senegal,Fecha:24-Jun-2018
Mundial 2018,/partidos/2018_uruguay_rusia.php,1raRonda_GrupoA,3-0,Uruguay,Rusia,Fecha:25-Jun-2018
Mundial 2018,/partidos/2018_arabia_saudita_egipto.php,1raRonda_GrupoA,2-1,ArabiaSaudita,Egipto,Fecha:25-Jun-2018
Mundial 2018,/partidos/2018_iran_portugal.php,1raRonda_GrupoB,1-1,Irán,Portugal,Fecha:25-Jun-2018
Mundial 2018,/partidos/2018_espana_marruecos.php,1raRonda_GrupoB,2-2,España,Marruecos,Fecha:25-Jun-2018
Mundial 2018,/partidos/2018_dinamarca_francia.php,1raRonda_GrupoC,0-0,Dinamarca,Francia,Fecha:26-Jun-2018
Mundial 2018,/partidos/2018_australia_peru.php,1raRonda_GrupoC,0-2,Australia,Perú,Fecha:26-Jun-2018
Mundial 2018,/partidos/2018_nigeria_argentina.php,1raRonda_GrupoD,1-2,Nigeria,Argentina,Fecha:26-Jun-2018
Mundial 2018,/partidos/2018_islandia_croacia.php,1raRonda_GrupoD,1-2,Islandia,Croacia,Fecha:26-Jun-2018
Mundial 2018,/partidos/2018_serbia_brasil.php,1raRonda_GrupoE,0-2,Serbia,Brasil,Fecha:27-Jun-2018
Mundial 2018,/partidos/2018_suiza_costa_rica.php,1raRonda_GrupoE,2-2,Suiza,CostaRica,Fecha:27-Jun-2018
Mundial 2018,/partidos/2018_corea_del_sur_alemania.php,1raRonda_GrupoF,2-0,CoreadelSur,Alemania,Fecha:27-Jun-2018
Mundial 2018,/partidos/2018_mexico_suecia.php,1raRonda_GrupoF,0-3,México,Suecia,Fecha:27-Jun-2018
Mundial 2018,/partidos/2018_inglaterra_belgica.php,1raRonda_GrupoG,0-1,Inglaterra,Bélgica,Fecha:28-Jun-2018
Mundial 2018,/partidos/2018_panama_tunez.php,1raRonda_GrupoG,1-2,Panama,Túnez,Fecha:28-Jun-2018
Mundial 2018,/partidos/2018_japon_polonia.php,1raRonda_GrupoH,0-1,Japón,Polonia,Fecha:28-Jun-2018
Mundial 2018,/partidos/2018_senegal_colombia.php,1raRonda_GrupoH,0-1,Senegal,Colombia,Fecha:28-Jun-2018
Mundial 2018,/partidos/2018_uruguay_portugal.php,Octavos,2-1,Uruguay,Portugal,Fecha:30-Jun-2018
Mundial 2018,/partidos/2018_francia_argentina.php,Octavos,4-3,Francia,Argentina,Fecha:30-Jun-2018
Mundial 2018,/partidos/2018_espana_rusia.php,Octavos,1-1,España,Rusia,Fecha:01-Jul-2018
Mundial 2018,/partidos/2018_croacia_dinamarca.php,Octavos,1-1,Croacia,Dinamarca,Fecha:01-Jul-2018
Mundial 2018,/partidos/2018_brasil_mexico.php,Octavos,2-0,Brasil,México,Fecha:02-Jul-2018
Mundial 2018,/partidos/2018_belgica_japon.php,Octavos,3-2,Bélgica,Japón,Fecha:02-Jul-2018
Mundial 2018,/partidos/2018_suecia_suiza.php,Octavos,1-0,Suecia,Suiza,Fecha:03-Jul-2018
